Curso;Nº do Tópico;Tópico;Foco Principal;Áreas de Aplicação;CHA
Access 2016;13;Relatórios;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;14;Criando nova tabela 08;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;15;Macros;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;16;Criando menu Parte 1 09;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;17;Segurança e backup;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;18;Criando menu Parte 2 10;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;19;Integração com outras ferramentas;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;20;Criando menu Parte 3 11;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;21;Criando menu Parte 4 12;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;22;Criando menu Parte 5 13;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;23;Criando menu Parte 6 14;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;24;Criando menu Parte 7 15;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;25;Criando menu Parte 8 16;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;26;Criando menu Parte 9 17;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;27;Criando menu Parte 10 18;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;28;Criando menu Parte 11 19;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;29;Botão concluir 20;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;30;Linkando menu com formulário 21;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;31;Tela de cadastros 22;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;32;Tela de cadastros parte 2 23;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;33;Botão deletar 24;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;34;Botão de pesquisa 25;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;35;Linkando ao menu e botão fechar 26;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;36;Formulário novo produto 27;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;37;Página de produtos 28;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;38;Arrumando formulário 29;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;39;Criando campo de pesquisa avançado 30;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;40;Criando botão delete parte 1 31;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;41;Criando botão delete parte 2 32;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;42;Criando botão delete parte 3 33;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;43;Tela dos produtos 34;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;44;Tela de produtos botão delete 35;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;45;Desafio;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;46;Introdução;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;47;Conhecendo o programa;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;48;Criando novo banco de dados;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;49;Deletando linhas e colunas;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;50;Filtro;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;51;Recursos do access;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;52;Criando nova tabela;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;53;Criando menu Parte 1;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;54;Criando menu Parte 2;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;55;Criando menu Parte 3;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;56;Criando menu Parte 4;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;57;Criando menu Parte 5;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;58;Criando menu Parte 6;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;59;Criando menu Parte 7;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;60;Criando menu Parte 8;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;61;Criando menu Parte 9;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;62;Criando menu Parte 10;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;63;Criando menu Parte 11;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;64;Botão concluir;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;65;Linkando menu com formulário;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;66;Tela de cadastros;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;67;Tela de cadastros parte 2;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;68;Botão deletar;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;69;Botão de pesquisa;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;70;Linkando ao menu e botão fechar;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;71;Formulário novo produto;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;72;Página de produtos;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;73;Arrumando formulário;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;74;Criando campo de pesquisa avançado;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;75;Criando botão delete parte 1;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;76;Criando botão delete parte 2;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;77;Criando botão delete parte 3;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;78;Tela dos produtos;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Access 2016;79;Tela de produtos botão delete;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Administração Mercado de Trabalho;1;Conceitos de administração;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Administração Mercado de Trabalho;2;Funções administrativas;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Administração Mercado de Trabalho;3;Organização e processos;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Administração Mercado de Trabalho;4;Planejamento e estratégia;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Administração Mercado de Trabalho;5;Gestão de pessoas;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Administração Mercado de Trabalho;6;Marketing e vendas;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Administração Mercado de Trabalho;7;Finanças básicas;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Administração Mercado de Trabalho;8;Tomada de decisão;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Administração Mercado de Trabalho;9;Gestão de tempo;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Administração Mercado de Trabalho;10;Mercado de trabalho atual;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Administração Mercado de Trabalho;11;Tendências e inovação;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
Administração Mercado de Trabalho;12;Empreendedorismo;Capacitação prática orientada ao mercado de trabalho.;Empregabilidade, serviços, comércio, educação.;Conhecimentos: conceitos fundamentais da área, ferramentas básicas. Habilidades: execução de tarefas, comunicação, organização. Atitudes: proatividade, ética, aprendizado contínuo.
